Name,md5,Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,legitimate
FileZilla_3.68.1_win64_sponsored2-setup.exe,0,332,224,271,6,0,26624,139776,2048,13893,4096,32768,4194304,4096,512,4,0,6,0,4,0,507904,1024,12922577,2,34112,1048576,4096,1048576,4096,0,16,5,5.560201549822796,4.126209888385871,6.573368107767031,15052.8,0,41984,98772.6,4952,290816,7,163,1,0,16,3.5972121503871195,2.5218322863648828,7.970315170857469,2558.375,76,18525,0,0,1
VS_SP_connector.exe,0,332,224,259,8,0,962560,147456,0,585728,4096,425984,4194304,4096,4096,4,0,0,0,4,0,675840,4096,0,2,0,1048576,4096,1048576,4096,0,16,5,5.591894643932722,3.8353599300517467,7.7001543702153255,131891.2,16384,421888,133375.2,28616,421822,15,419,1,0,76,2.6284060364978887,0.9609531358282069,5.436029159517783,395.94736842105266,20,5946,72,0,0
VS_chevrolet.exe,0,332,224,258,8,0,0,0,0,5591,0,0,4194304,4096,512,4,0,0,0,4,0,151552,1024,132339,2,33792,1048576,4096,1048576,4096,0,16,8,3.5406057472424592,0.0,7.948678549164914,15808.0,512,112128,15587.5,78,111809,5,99,0,0,11,3.85767389295186,1.8192407046368488,7.998419327900857,10097.545454545454,20,105611,0,0,0
Skype-8.132.0.201.exe,0,332,224,33167,2,25,66560,336896,0,71708,4096,73728,4194304,4096,512,5,0,6,0,5,0,446464,1024,91102322,2,33088,1048576,16384,1048576,4096,0,16,8,3.9980190955077055,0.20448815743984491,6.37587901342021,50432.0,0,328704,52941.5,8,328448,11,122,0,0,18,4.02267792977013,2.2318278687650883,5.571368686257219,18186.0,16,270376,0,0,1
VS_LoaderBot.exe,0,332,224,258,11,0,10752,5632,0,18798,8192,24576,4194304,8192,512,4,0,0,0,4,0,40960,512,0,2,34112,1048576,4096,1048576,4096,0,16,3,3.6103715134024608,0.08153941234324168,5.438452401720383,5461.333333333333,512,10752,5125.333333333333,12,10612,1,1,0,0,2,4.385862373411666,3.333209981595504,5.438514765227828,2291.0,588,3994,0,0,0
ZoomInstallerFull.exe,0,34404,240,34,14,29,178688,154624,0,138128,4096,0,5368709120,4096,512,6,0,0,0,6,0,348160,1024,108874225,2,49504,1048576,4096,1048576,4096,0,16,7,4.637975217167126,2.464450974171664,6.414843646409908,45056.0,512,178688,47321.42857142857,244,178592,4,115,0,0,12,3.7246401378059777,1.43775448373068,5.3024671311499825,3673.9166666666665,52,20520,312,0,1
VS_mbam.exe,0,332,224,271,7,61,126976,598016,471040,4096,4096,131072,4194304,4096,512,4,0,6,43,4,0,614400,1024,0,2,0,1548288,8192,1822720,8192,130856128,996943589,4,5.8722137189168855,3.128362360868352,7.764449334604095,120036.75,2624,468352,152576.0,4096,471040,4,222,0,0,5,2.554751744715797,1.7698669865031669,3.3741161526965606,459.2,48,904,0,0,0
Docker Desktop Installer.exe,0,34404,240,34,48,0,7643648,478836224,0,0,8192,0,4194304,8192,512,4,0,0,0,4,0,486498304,512,486539302,2,34144,1048576,4096,1048576,4096,0,16,2,7.870018981422883,7.740042789401249,7.999995173444518,243239936.0,7643648,478836224,243239612.0,7643148,478836076,0,0,0,0,10,4.403406232341405,2.7990765569519724,7.999997036261885,47883542.6,90,478720778,0,0,1
VS_Rainerstoff.exe,0,332,224,271,6,0,798720,282624,0,4644,4096,802816,4194304,4096,4096,4,0,3,2,4,0,1085440,4096,1087839,2,0,1048576,4096,1048576,4096,0,16,3,4.832436830340934,3.990660558327493,5.674213102354376,352256.0,0,798720,357012.0,21552,794760,1,54,43,0,17,3.5835924762055047,1.1143916355764696,7.954682405328963,14926.35294117647,160,67624,0,0,0
Wireshark-4.4.1-x64.exe,0,332,224,271,6,0,26624,139776,2048,13893,4096,32768,4194304,4096,512,4,0,6,0,4,0,716800,1024,87322686,2,34112,1048576,4096,1048576,4096,0,16,5,5.190448483044317,4.126209888385871,6.437869601193716,65638.4,0,294912,141167.8,4952,294824,7,163,1,0,16,3.7869381484894897,2.5218322863648828,5.788970380229688,18366.875,76,270376,0,0,1
